SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0.1023712383613841,-0.5219756496159262,-0.2632890631964203,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False
0,-0.7117434584104956,0.3374778078243394,-0.5048144831572396,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.7931549280876836,-0.8090131942822701,-0.7512134391325384,True,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
0,-0.2639803751859618,0.2843841579438598,-0.1736994214167345,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True,False,False
0,-1.2816237461508113,-0.6762790695810708,-0.99085091270937,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1.3642490183577978,0.48348534499565887,1.2709747139024437,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False
0,-1.2816237461508113,-1.497571466169742,-1.0017175808497631,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
0,0.30589991255435406,-0.27641751891870747,0.03415030374133098,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1.3235432835192036,-0.17023021915774814,0.6616070891730831,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False
0,1.1200146093262338,0.5183280527297236,1.1177217638255048,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,False
1,-1.1188008067964355,-0.1669118660402181,-0.8840282719595658,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
0,-1.1188008067964355,-0.5153389433808665,-0.9083081405722422,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
0,-1.2409180113122174,-0.46390447005915153,-0.9563849147691331,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,-0.10115743583158582,0.08860132400959055,-0.1322085066988697,True,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False
0,0.14307697319997809,1.0111034906829266,0.5149619514401006,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False
0,0.9164859351332638,0.1367174442137754,0.676710660244983,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False
0,-0.06045170099299184,0.6576988836659831,0.13702142880371965,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
1,-0.1825689055087738,-0.9633166142474143,-0.5829227765784898,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.6710377235719016,-1.5257774676687466,-0.8669269901790279,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False
0,-1.0780950719578415,-1.4859572302583868,-0.9531139378945502,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
1,-0.22327464034736777,0.695859944517578,-0.03565980673634629,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
0,1.0386031396490458,-1.3150620447055927,-0.36308678716859677,True,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False
0,1.6084834273893616,1.326347036848275,2.384665504670697,True,True,True,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,False
0,-0.1825689055087738,-0.9682941439237093,-0.5883012284863612,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True
0,0.30589991255435406,0.667653943018573,0.462911708690864,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False
0,-1.2816237461508113,-1.4743429943470319,-1.001410240740742,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-1.1188008067964355,0.5000771105833088,-0.8292997796888584,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False
0,-1.2816237461508113,0.14169497389007057,-0.9800281502988372,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.8338606629262776,1.3396204493183947,-0.4503274724007632,False,False,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-1.1188008067964355,1.034331962505636,-0.811342336176047,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False
0,1.5677776925507676,0.7024966507526377,1.644085606254205,True,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False
0,-1.2002122764736234,0.39886734049864436,-0.9101302283614394,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.10115743583158582,-1.5025489958460367,-0.7224551860741241,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False
0,-0.30468611002455576,-1.4842980536996218,-0.787413713402252,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0.7943687306174818,-1.3399496930870676,-0.42600369805822663,True,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True
1,0.5501343215859179,1.495583045842304,1.1299056038617032,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True,False
0,-0.9559778674420595,0.18483356441796028,-0.7478985565280951,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
0,-0.5489205190561197,0.7273842991341125,-0.32354967742950963,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
0,-0.8338606629262776,-0.5153389433808665,-0.7418615186723211,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1,0.5094285867473239,1.1206091435614158,0.9766746066496946,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,False
0,0.14307697319997809,1.313073624378155,0.6074932771204181,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False
0,0.22448844287716607,1.0011484313303363,0.610237385236679,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False
0,-1.2816237461508113,-1.5174815848749215,-1.0019810152289244,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True
0,-0.9152721326034655,1.113972437326356,-0.5547792037381181,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False
0,-0.7931549280876836,-0.6679831867872458,-0.7648900739839826,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
